material_number,material_description,material_type,category_code
0000101141,Sulphuric Acid Technical Grade,ROH,030
0000101142,MIBC Frother 32% Solution,ROH,030
0000101143,Caustic Soda Lye Briquettes,ROH,030
0000101144,Flocculant Cationic Lab Grade,ROH,030
0000101145,Pine Oil Technical Grade,ROH,030
0000101146,Ferric Chloride Industrial Grade,ROH,030
0000101147,Hydrogen Peroxide Liquid,ROH,030
0000101148,Flocculant Cationic 30% w/v,ROH,030
0000101149,Zinc Sulphate Pellets,ROH,030
0000101150,Caustic Soda Flakes 50% Solution,ROH,030
0000101151,Caustic Soda Flakes Liquid,ROH,030
0000101152,Potassium Amyl Xanthate Pellets,ROH,030
0000101153,Sodium Isopropyl Xanthate Liquid,ROH,030
0000101154,Sulphuric Acid Powder,ROH,030
0000101155,Potassium Amyl Xanthate Industrial Grade,ROH,030
0000101156,Hydrogen Peroxide Industrial Grade,ROH,030
0000101157,Potassium Amyl Xanthate 32% Solution,ROH,030
0000101158,Flocculant Cationic Industrial Grade,ROH,030
0000101159,Caustic Soda Flakes Technical Grade,ROH,030
0000101160,Caustic Soda Flakes Granular,ROH,031
0000101161,MIBC Frother 50% Solution,ROH,031
0000101162,Caustic Soda Flakes 30% w/v,ROH,031
0000101163,Ferric Chloride Powder,ROH,031
0000101164,Flocculant Cationic Industrial Grade,ROH,031
0000101165,Anti-Scalant 30% w/v,ROH,031
0000101166,Hydrochloric Acid 98% Purity,ROH,031
0000101167,MIBC Frother 50% Solution,ROH,031
0000101168,Copper Sulphate Briquettes,ROH,031
0000101169,Flocculant Anionic Liquid,ROH,031
0000101170,Hydrochloric Acid Briquettes,ROH,031
0000101171,Copper Sulphate Technical Grade,ROH,031
0000101172,Caustic Soda Lye Pellets,ROH,031
0000101173,Caustic Soda Flakes Granular,ROH,031
0000101174,Zinc Sulphate Industrial Grade,ROH,031
0000101175,Activated Carbon 32% Solution,ROH,031
0000101176,Anti-Scalant 50% Solution,ROH,031
0000101177,Sodium Isopropyl Xanthate 32% Solution,ROH,031
0000101178,MIBC Frother Industrial Grade,ROH,031
0000101179,Pine Oil 30% w/v,ROH,031
0000101180,Natural Gas BS-VI,ROH,032
0000101181,Coal Imported 4500 GCV,ROH,032
0000101182,Natural Gas Indonesian,ROH,032
0000101183,Coal Imported 5500 GCV,ROH,032
0000101184,Coal Imported Bulk,ROH,032
0000101185,Electricity Captive BS-VI,ROH,032
0000101186,Coal Imported Bagged,ROH,032
0000101187,Coal Domestic Piped,ROH,032
0000101188,Natural Gas BS-VI,ROH,032
0000101189,Furnace Oil Indonesian,ROH,032
0000101190,Coal Imported High Calorific,ROH,032
0000101191,Petroleum Coke Bagged,ROH,032
0000101192,Electricity Grid Piped,ROH,032
0000101193,Coal Imported Piped,ROH,032
0000101194,Furnace Oil Bagged,ROH,032
0000101195,Coal Imported 5500 GCV,ROH,032
0000101196,Electricity Captive Low Ash,ROH,032
0000101197,Natural Gas High Calorific,ROH,032
0000101198,Charcoal High Calorific,ROH,032
0000101199,Charcoal Piped,ROH,032
0000101200,Electricity Captive 5500 GCV,ROH,032
0000101201,Petroleum Coke Piped,ROH,032
0000101202,Electricity Grid Indonesian,ROH,032
0000101203,Electricity Grid Bagged,ROH,032
0000101204,Natural Gas Low Ash,ROH,032
0000101205,Electricity Grid Indonesian,ROH,033
0000101206,Electricity Grid Piped,ROH,033
0000101207,Coal Domestic LDO Grade,ROH,033
0000101208,Electricity Captive LDO Grade,ROH,033
0000101209,Diesel HSD South African,ROH,033
0000101210,Electricity Grid Low Ash,ROH,033
0000101211,Electricity Captive South African,ROH,033
0000101212,LPG Industrial High Calorific,ROH,033
0000101213,Coal Domestic South African,ROH,033
0000101214,Charcoal LDO Grade,ROH,033
0000101215,Natural Gas Piped,ROH,033
0000101216,Electricity Captive Indonesian,ROH,033
0000101217,Furnace Oil South African,ROH,033
0000101218,Charcoal BS-VI,ROH,033
0000101219,Charcoal High Calorific,ROH,033
0000101220,Electricity Grid 4500 GCV,ROH,033
0000101221,Charcoal Bulk,ROH,033
0000101222,Electricity Grid Indonesian,ROH,034
0000101223,Coal Imported Piped,ROH,034
0000101224,Diesel HSD 4500 GCV,ROH,034
0000101225,Coal Imported BS-VI,ROH,034
0000101226,Natural Gas Bulk,ROH,034
0000101227,Furnace Oil BS-VI,ROH,034
0000101228,Petroleum Coke 5500 GCV,ROH,034
0000101229,Furnace Oil South African,ROH,034
0000101230,Diesel HSD LDO Grade,ROH,034
0000101231,Charcoal BS-VI,ROH,034
0000101232,Coal Imported 4500 GCV,ROH,034
0000101233,LPG Industrial High Calorific,ROH,034
0000101234,Petroleum Coke 5500 GCV,ROH,034
0000101235,Petroleum Coke Indonesian,ROH,034
0000101236,Petroleum Coke 4500 GCV,ROH,034
0000101237,Furnace Oil Bagged,ROH,034
0000101238,Coal Domestic LDO Grade,ROH,035
0000101239,LPG Industrial South African,ROH,035
0000101240,Petroleum Coke South African,ROH,035
0000101241,LPG Industrial Piped,ROH,035
0000101242,Natural Gas BS-VI,ROH,035
0000101243,Diesel HSD 6000 GCV,ROH,035
0000101244,Charcoal Bagged,ROH,035
0000101245,Electricity Grid 4500 GCV,ROH,035
0000101246,Electricity Grid 4500 GCV,ROH,035
0000101247,Natural Gas Low Ash,ROH,035
0000101248,Charcoal 5500 GCV,ROH,035
0000101249,LPG Industrial 6000 GCV,ROH,035
0000101250,Natural Gas Piped,ROH,035
0000101251,Furnace Oil BS-VI,ROH,035
0000101252,Petroleum Coke Bulk,ROH,035
0000101253,Diesel HSD Low Ash,ROH,035
0000101254,Natural Gas LDO Grade,ROH,035
0000101255,Furnace Oil Bulk,ROH,035
0000101256,Diesel HSD Indonesian,ROH,035
0000101257,Natural Gas Piped,ROH,036
0000101258,Diesel HSD 4500 GCV,ROH,036
0000101259,Charcoal Low Ash,ROH,036
0000101260,Electricity Grid Low Ash,ROH,036
0000101261,Diesel HSD High Calorific,ROH,036
0000101262,Electricity Grid 6000 GCV,ROH,036
0000101263,Natural Gas Piped,ROH,036
0000101264,Electricity Captive 5500 GCV,ROH,036
0000101265,Electricity Captive Bulk,ROH,036
0000101266,Coal Domestic Low Ash,ROH,036
0000101267,Coal Imported High Calorific,ROH,036
0000101268,Electricity Grid Low Ash,ROH,036
0000101269,Petroleum Coke 6000 GCV,ROH,036
0000101270,Coal Imported BS-VI,ROH,036
0000101271,Electricity Grid Bulk,ROH,036
0000101272,LPG Industrial Bagged,ROH,036
0000101273,Housekeeping Service Lump Sum,DIEN,037
0000101274,Annual Maintenance Contract Annual,DIEN,037
0000101275,Consulting Engineering Mine Area,DIEN,037
0000101276,Transportation Service Captive Power Plant,DIEN,037
0000101277,Housekeeping Service Annual,DIEN,037
0000101278,EPC Contractor As Required,DIEN,037
0000101279,Transportation Service FY2025,DIEN,037
0000101280,Civil Works As Required,DIEN,037
0000101281,Electrical Maintenance Captive Power Plant,DIEN,037
0000101282,Housekeeping Service Lump Sum,DIEN,037
0000101283,Instrumentation Service Monthly,DIEN,037
0000101284,Civil Works Plant Area,DIEN,037
0000101285,Electrical Maintenance Captive Power Plant,DIEN,037
0000101286,Manpower Supply FY2023,DIEN,037
0000101287,Housekeeping Service As Required,DIEN,037
0000101288,Transportation Service Rate Contract,DIEN,037
0000101289,Housekeeping Service FY2025,DIEN,037
0000101290,Transportation Service Monthly,DIEN,037
0000101291,Instrumentation Service Annual,DIEN,038
0000101292,Consulting Engineering FY2024,DIEN,038
0000101293,NDT Testing Lump Sum,DIEN,038
0000101294,Calibration Service Annual,DIEN,038
0000101295,Mechanical Maintenance Rate Contract,DIEN,038
0000101296,EPC Contractor Monthly,DIEN,038
0000101297,Annual Maintenance Contract Quarterly,DIEN,038
0000101298,Transportation Service Mine Area,DIEN,038
0000101299,Security Service Smelter Area,DIEN,038
0000101300,Annual Maintenance Contract FY2024,DIEN,038
0000101301,Instrumentation Service Captive Power Plant,DIEN,038
0000101302,Environmental Monitoring Smelter Area,DIEN,038
0000101303,EPC Contractor Mine Area,DIEN,038
0000101304,Housekeeping Service Monthly,DIEN,038
0000101305,Manpower Supply Monthly,DIEN,038
0000101306,Calibration Service Annual,DIEN,038
0000101307,NDT Testing FY2023,DIEN,039
0000101308,Instrumentation Service Monthly,DIEN,039
0000101309,EPC Contractor FY2024,DIEN,039
0000101310,EPC Contractor Captive Power Plant,DIEN,039
0000101311,Manpower Supply Monthly,DIEN,039
0000101312,EPC Contractor Smelter Area,DIEN,039
0000101313,EPC Contractor Monthly,DIEN,039
0000101314,Transportation Service Monthly,DIEN,039
0000101315,Housekeeping Service Annual,DIEN,039
0000101316,Environmental Monitoring Quarterly,DIEN,039
0000101317,Transportation Service Lump Sum,DIEN,039
0000101318,Housekeeping Service Mine Area,DIEN,039
0000101319,Shutdown Maintenance Quarterly,DIEN,039
0000101320,Civil Works Annual,DIEN,039
0000101321,Housekeeping Service Lump Sum,DIEN,039
0000101322,Manpower Supply FY2024,DIEN,039
0000101323,Environmental Monitoring Annual,DIEN,040
0000101324,NDT Testing Monthly,DIEN,040
0000101325,Shutdown Maintenance Annual,DIEN,040
0000101326,Transportation Service FY2023,DIEN,040
0000101327,Security Service Monthly,DIEN,040
0000101328,EPC Contractor FY2025,DIEN,040
0000101329,Annual Maintenance Contract Quarterly,DIEN,040
0000101330,Housekeeping Service Smelter Area,DIEN,040
0000101331,Security Service Plant Area,DIEN,040
0000101332,Transportation Service Quarterly,DIEN,040
0000101333,Electrical Maintenance Monthly,DIEN,040
0000101334,Shutdown Maintenance Monthly,DIEN,040
0000101335,Transportation Service Smelter Area,DIEN,040
0000101336,Calibration Service Monthly,DIEN,040
0000101337,Manpower Supply Rate Contract,DIEN,040
0000101338,Consulting Engineering Mine Area,DIEN,040
0000101339,Shutdown Maintenance Quarterly,DIEN,040
0000101340,Environmental Monitoring Lump Sum,DIEN,040
0000101341,EPC Contractor Mine Area,DIEN,040
0000101342,Manpower Supply FY2025,DIEN,041
0000101343,EPC Contractor Captive Power Plant,DIEN,041
0000101344,Shutdown Maintenance FY2025,DIEN,041
0000101345,Electrical Maintenance Plant Area,DIEN,041
0000101346,Housekeeping Service Lump Sum,DIEN,041
0000101347,Electrical Maintenance Rate Contract,DIEN,041
0000101348,Consulting Engineering FY2023,DIEN,041
0000101349,Housekeeping Service FY2023,DIEN,041
0000101350,Calibration Service FY2024,DIEN,041
0000101351,Calibration Service Mine Area,DIEN,041
0000101352,Annual Maintenance Contract Captive Power Plant,DIEN,041
0000101353,Annual Maintenance Contract As Required,DIEN,041
0000101354,Electrical Maintenance Mine Area,DIEN,041
0000101355,Instrumentation Service FY2024,DIEN,041
0000101356,EPC Contractor FY2025,DIEN,041
0000101357,Annual Maintenance Contract Monthly,DIEN,041
0000101358,Housekeeping Service Lump Sum,DIEN,041
0000101359,Shutdown Maintenance FY2023,DIEN,041
0000101360,Security Service Mine Area,DIEN,041
0000101361,Consulting Engineering Lump Sum,DIEN,042
0000101362,Annual Maintenance Contract FY2023,DIEN,042
0000101363,Housekeeping Service Rate Contract,DIEN,042
0000101364,Transportation Service FY2023,DIEN,042
0000101365,Annual Maintenance Contract Rate Contract,DIEN,042
0000101366,EPC Contractor Quarterly,DIEN,042
0000101367,Housekeeping Service Quarterly,DIEN,042
0000101368,Annual Maintenance Contract Rate Contract,DIEN,042
0000101369,Calibration Service Plant Area,DIEN,042
0000101370,Consulting Engineering As Required,DIEN,042
0000101371,Environmental Monitoring FY2025,DIEN,042
0000101372,Mechanical Maintenance FY2024,DIEN,042
0000101373,Housekeeping Service FY2025,DIEN,042
0000101374,Instrumentation Service Monthly,DIEN,042
0000101375,Security Service Rate Contract,DIEN,042
0000101376,Civil Works Annual,DIEN,042
0000101377,Civil Works Captive Power Plant,DIEN,042
0000101378,Transportation Service FY2024,DIEN,042
0000101379,Shutdown Maintenance As Required,DIEN,042
0000101380,Security Service Monthly,DIEN,043
0000101381,EPC Contractor Monthly,DIEN,043
0000101382,Civil Works Mine Area,DIEN,043
0000101383,Calibration Service FY2024,DIEN,043
0000101384,Consulting Engineering Mine Area,DIEN,043
0000101385,Environmental Monitoring FY2023,DIEN,043
0000101386,Mechanical Maintenance As Required,DIEN,043
0000101387,Transportation Service As Required,DIEN,043
0000101388,Housekeeping Service Lump Sum,DIEN,043
0000101389,Annual Maintenance Contract Mine Area,DIEN,043
0000101390,Annual Maintenance Contract Plant Area,DIEN,043
0000101391,Electrical Maintenance FY2024,DIEN,043
0000101392,Manpower Supply As Required,DIEN,043
0000101393,Consulting Engineering Captive Power Plant,DIEN,043
0000101394,Shutdown Maintenance Smelter Area,DIEN,043
0000101395,Calibration Service FY2024,DIEN,043
0000101396,NDT Testing Rate Contract,DIEN,043
0000101397,NDT Testing FY2023,DIEN,043
0000101398,Instrumentation Service Monthly,DIEN,043
0000101399,Container 40ft Per MT,DIEN,044
0000101400,Rail Freight Domestic,DIEN,044
0000101401,Forklift Hiring Regular,DIEN,044
0000101402,Road Transport Per Day,DIEN,044
0000101403,Warehouse Storage Per MT,DIEN,044
0000101404,Container 20ft Regular,DIEN,044
0000101405,Sea Freight Hazardous,DIEN,044
0000101406,Rail Freight Domestic,DIEN,044
0000101407,Sea Freight Regular,DIEN,044
0000101408,Container 20ft Regular,DIEN,044
0000101409,Loading Unloading Express,DIEN,044
0000101410,Warehouse Storage Hazardous,DIEN,044
0000101411,Sea Freight Per Trip,DIEN,044
0000101412,Forklift Hiring International,DIEN,044
0000101413,Road Transport Per Trip,DIEN,044
0000101414,Loading Unloading Per Month,DIEN,044
0000101415,Rail Freight International,DIEN,044
0000101416,Vehicle Hiring Regular,DIEN,044
0000101417,Vehicle Hiring Hazardous,DIEN,044
0000101418,Road Transport Domestic,DIEN,045
0000101419,Crane Hiring Oversize,DIEN,045
0000101420,Container 20ft International,DIEN,045
0000101421,Forklift Hiring Hazardous,DIEN,045
0000101422,Loading Unloading Per Day,DIEN,045
0000101423,Vehicle Hiring Hazardous,DIEN,045
0000101424,Rail Freight Regular,DIEN,045
0000101425,Container 40ft Per Month,DIEN,045
0000101426,Rail Freight Per Trip,DIEN,045
0000101427,Container 40ft Per Day,DIEN,045
0000101428,Loading Unloading Per Day,DIEN,045
0000101429,Loading Unloading International,DIEN,045
0000101430,Warehouse Storage Per Trip,DIEN,045
0000101431,Rail Freight Per MT,DIEN,045
0000101432,Container 40ft Oversize,DIEN,045
0000101433,Warehouse Storage Domestic,DIEN,045
0000101434,Rail Freight Per Day,DIEN,045
0000101435,Sea Freight Hazardous,DIEN,046
0000101436,Crane Hiring Express,DIEN,046
0000101437,Forklift Hiring Express,DIEN,046
0000101438,Loading Unloading Per Trip,DIEN,046
0000101439,Road Transport Per Trip,DIEN,046
0000101440,Warehouse Storage Express,DIEN,046
0000101441,Rail Freight Regular,DIEN,046
0000101442,Vehicle Hiring International,DIEN,046
0000101443,Loading Unloading Per MT,DIEN,046
0000101444,Container 40ft Hazardous,DIEN,046
0000101445,Loading Unloading Per Trip,DIEN,046
0000101446,Forklift Hiring Per Month,DIEN,046
0000101447,Vehicle Hiring Express,DIEN,046
0000101448,Loading Unloading Per Day,DIEN,047
0000101449,Sea Freight Domestic,DIEN,047
0000101450,Container 40ft Domestic,DIEN,047
0000101451,Crane Hiring Per Day,DIEN,047
0000101452,Rail Freight Per Day,DIEN,047
0000101453,Loading Unloading Domestic,DIEN,047
0000101454,Loading Unloading Domestic,DIEN,047
0000101455,Crane Hiring Per Trip,DIEN,047
0000101456,Warehouse Storage Domestic,DIEN,047
0000101457,Container 20ft Oversize,DIEN,047
0000101458,Vehicle Hiring Regular,DIEN,047
0000101459,Container 20ft Oversize,DIEN,047
0000101460,Rail Freight Per Day,DIEN,047
0000101461,Container 40ft Per MT,DIEN,047
0000101462,Warehouse Storage Regular,DIEN,048
0000101463,Loading Unloading International,DIEN,048
0000101464,Crane Hiring International,DIEN,048
0000101465,Loading Unloading Regular,DIEN,048
0000101466,Sea Freight Domestic,DIEN,048
0000101467,Warehouse Storage Regular,DIEN,048
0000101468,Container 20ft Oversize,DIEN,048
0000101469,Warehouse Storage Per Day,DIEN,048
0000101470,Loading Unloading International,DIEN,048
0000101471,Container 40ft Oversize,DIEN,048
0000101472,Vehicle Hiring Per Month,DIEN,048
0000101473,Warehouse Storage Hazardous,DIEN,048
0000101474,Container 40ft Hazardous,DIEN,048
0000101475,Warehouse Storage Per Trip,DIEN,048
0000101476,Vehicle Hiring Per Month,DIEN,048
0000101477,Vehicle Hiring Express,DIEN,048
0000101478,Sea Freight Express,DIEN,048
0000101479,Road Transport Oversize,DIEN,048
0000101480,Radio Handset 1 Gbps,HIBE,049
0000101481,Fiber Optic Cable 10 Gbps,HIBE,049
0000101482,IT AMC Dell,HIBE,049
0000101483,Printer Laser 1 Gbps,HIBE,049
0000101484,CCTV Camera 24-Port,HIBE,049
0000101485,Radio Handset Lenovo,HIBE,049
0000101486,SAP Support Hikvision,HIBE,049
0000101487,Network Switch Hikvision,HIBE,049
0000101488,SAP Support Lenovo,HIBE,049
0000101489,IT AMC Enterprise,HIBE,049
0000101490,Printer Laser Enterprise,HIBE,049
0000101491,Desktop PC Standard,HIBE,049
0000101492,Cloud Hosting Standard,HIBE,049
0000101493,Cloud Hosting Enterprise,HIBE,049
0000101494,Software License Annual,HIBE,049
0000101495,IT AMC Enterprise,HIBE,049
0000101496,Software License HP,HIBE,049
0000101497,Printer Laser Motorola,HIBE,049
0000101498,IT AMC 1 Gbps,HIBE,049
0000101499,Software License Per User,HIBE,049
0000101500,SAP Support Dell,HIBE,049
0000101501,Printer Laser Cisco,HIBE,050
0000101502,SAP Support 24-Port,HIBE,050
0000101503,UPS System Lenovo,HIBE,050
0000101504,SAP Support Per User,HIBE,050
0000101505,Laptop Per User,HIBE,050
0000101506,SAP Support 24-Port,HIBE,050
0000101507,SAP Support Enterprise,HIBE,050
0000101508,Printer Laser Motorola,HIBE,050
0000101509,Printer Laser Enterprise,HIBE,050
0000101510,Desktop PC HP,HIBE,050
0000101511,Desktop PC Hikvision,HIBE,050
0000101512,Network Switch Annual,HIBE,050
0000101513,IT AMC Annual,HIBE,050
0000101514,Software License Per User,HIBE,050
0000101515,IT AMC Per User,HIBE,050
0000101516,Network Switch Standard,HIBE,050
0000101517,UPS System Enterprise,HIBE,050
0000101518,Radio Handset 1 Gbps,HIBE,050
0000101519,UPS System HP,HIBE,051
0000101520,Radio Handset Dell,HIBE,051
0000101521,Fiber Optic Cable Enterprise,HIBE,051
0000101522,Desktop PC Dell,HIBE,051
0000101523,IT AMC Lenovo,HIBE,051
0000101524,UPS System Hikvision,HIBE,051
0000101525,UPS System Standard,HIBE,051
0000101526,Printer Laser Cisco,HIBE,051
0000101527,Software License Standard,HIBE,051
0000101528,UPS System Standard,HIBE,051
0000101529,Desktop PC Standard,HIBE,051
0000101530,IT AMC 48-Port,HIBE,051
0000101531,Radio Handset Motorola,HIBE,051
0000101532,Desktop PC Hikvision,HIBE,051
0000101533,Laptop 1 Gbps,HIBE,051
0000101534,IT AMC Dell,HIBE,051
0000101535,Laptop 10 Gbps,HIBE,051
0000101536,UPS System 24-Port,HIBE,051
0000101537,Desktop PC 24-Port,HIBE,051
0000101538,IT AMC Cisco,HIBE,052
0000101539,Software License Lenovo,HIBE,052
0000101540,Software License Lenovo,HIBE,052
0000101541,UPS System Annual,HIBE,052
0000101542,CCTV Camera Standard,HIBE,052
0000101543,Network Switch 1 Gbps,HIBE,052
0000101544,CCTV Camera 24-Port,HIBE,052
0000101545,Server Rack Lenovo,HIBE,052
0000101546,SAP Support 24-Port,HIBE,052
0000101547,CCTV Camera Enterprise,HIBE,052
0000101548,Laptop 48-Port,HIBE,052
0000101549,Cloud Hosting Cisco,HIBE,052
0000101550,Radio Handset Per User,HIBE,052
0000101551,CCTV Camera Enterprise,HIBE,052
0000101552,Laptop 48-Port,HIBE,052
0000101553,Network Switch Cisco,HIBE,052
0000101554,Fiber Optic Cable 1 Gbps,HIBE,052
0000101555,IT AMC 1 Gbps,HIBE,052
0000101556,Printer Laser Dell,HIBE,052
0000101557,Cloud Hosting Dell,HIBE,052
0000101558,UPS System Motorola,HIBE,053
0000101559,Network Switch Standard,HIBE,053
0000101560,Desktop PC Hikvision,HIBE,053
0000101561,SAP Support 10 Gbps,HIBE,053
0000101562,Radio Handset Annual,HIBE,053
0000101563,SAP Support Motorola,HIBE,053
0000101564,Cloud Hosting Enterprise,HIBE,053
0000101565,Cloud Hosting Enterprise,HIBE,053
0000101566,Cloud Hosting Dell,HIBE,053
0000101567,UPS System Motorola,HIBE,053
0000101568,Radio Handset Per User,HIBE,053
0000101569,Server Rack 10 Gbps,HIBE,053
0000101570,SAP Support 48-Port,HIBE,053
0000101571,Printer Laser Hikvision,HIBE,053
0000101572,Cloud Hosting Per User,HIBE,053
0000101573,Desktop PC 24-Port,HIBE,053
0000101574,Server Rack Motorola,HIBE,053
0000101575,Desktop PC Cisco,HIBE,053
0000101576,Fiber Optic Cable Dell,HIBE,053
0000101577,Server Rack Motorola,HIBE,053
0000101578,Fire Extinguisher Single Gas,HIBE,054
0000101579,Full Face Respirator Class-B,HIBE,054
0000101580,First Aid Kit Single Gas,HIBE,054
0000101581,Full Face Respirator Nitrile,HIBE,054
0000101582,Safety Harness Nitrile,HIBE,054
0000101583,Fire Extinguisher Nitrile,HIBE,054
0000101584,Safety Harness ABC Type,HIBE,054
0000101585,Safety Shoes Nitrile,HIBE,054
0000101586,Dust Mask Medium,HIBE,054
0000101587,First Aid Kit EN Standard,HIBE,054
0000101588,Gas Detector Fixed 4-Gas,HIBE,054
0000101589,Safety Helmet Small,HIBE,054
0000101590,Safety Shoes Leather,HIBE,054
0000101591,Gas Detector Fixed Single Gas,HIBE,054
0000101592,Fire Extinguisher Small,HIBE,054
0000101593,Full Face Respirator Small,HIBE,054
0000101594,Full Face Respirator Medium,HIBE,054
0000101595,Safety Harness Nitrile,HIBE,054
0000101596,Safety Goggles IS Standard,HIBE,054
0000101597,Ear Plug EN Standard,HIBE,055
0000101598,Ear Plug PVC,HIBE,055
0000101599,Fire Extinguisher ABC Type,HIBE,055
0000101600,Safety Shoes Medium,HIBE,055
0000101601,First Aid Kit Small,HIBE,055
0000101602,Fire Extinguisher Class-A,HIBE,055
0000101603,First Aid Kit Class-A,HIBE,055
0000101604,Ear Plug 4-Gas,HIBE,055
0000101605,Fire Extinguisher EN Standard,HIBE,055
0000101606,Gas Detector Portable Medium,HIBE,055
0000101607,Fire Extinguisher Leather,HIBE,055
0000101608,Full Face Respirator Class-A,HIBE,055
0000101609,Reflective Jacket PVC,HIBE,055
0000101610,Ear Plug EN Standard,HIBE,055
0000101611,Safety Harness Canvas,HIBE,055
0000101612,Dust Mask DGMS Approved,HIBE,055
0000101613,Safety Harness Class-A,HIBE,055
0000101614,Gas Detector Portable PVC,HIBE,055
0000101615,Ear Muff 4-Gas,HIBE,055
0000101616,Gas Detector Fixed Large,HIBE,055
0000101617,Safety Shoes Class-B,HIBE,055
0000101618,Gas Detector Portable Leather,HIBE,055
0000101619,Gas Detector Portable EN Standard,HIBE,056
0000101620,First Aid Kit 4-Gas,HIBE,056
0000101621,Fire Extinguisher Canvas,HIBE,056
0000101622,First Aid Kit Nitrile,HIBE,056
0000101623,Dust Mask ABC Type,HIBE,056
0000101624,Ear Plug Canvas,HIBE,056
0000101625,Gas Detector Fixed Class-A,HIBE,056
0000101626,Safety Shoes Large,HIBE,056
0000101627,Safety Helmet Canvas,HIBE,056
0000101628,Gas Detector Fixed Class-B,HIBE,056
0000101629,Reflective Jacket Class-B,HIBE,056
0000101630,Ear Muff Class-B,HIBE,056
0000101631,Reflective Jacket CO2 Type,HIBE,056
0000101632,Gas Detector Fixed PVC,HIBE,056
0000101633,Gas Detector Portable Single Gas,HIBE,056
0000101634,Safety Harness Class-B,HIBE,056
0000101635,First Aid Kit Canvas,HIBE,056
0000101636,Safety Gloves Large,HIBE,056
0000101637,Full Face Respirator Medium,HIBE,056
0000101638,Safety Goggles DGMS Approved,HIBE,056
0000101639,Full Face Respirator Canvas,HIBE,056
0000101640,Safety Harness Small,HIBE,057
0000101641,Dust Mask IS Standard,HIBE,057
0000101642,Gas Detector Fixed DGMS Approved,HIBE,057
0000101643,Reflective Jacket Medium,HIBE,057
0000101644,Safety Gloves 4-Gas,HIBE,057
0000101645,Gas Detector Fixed DGMS Approved,HIBE,057
0000101646,Gas Detector Portable Single Gas,HIBE,057
0000101647,Ear Muff Large,HIBE,057
0000101648,Gas Detector Fixed Leather,HIBE,057
0000101649,Safety Harness Canvas,HIBE,057
0000101650,Dust Mask ABC Type,HIBE,057
0000101651,Dust Mask Class-B,HIBE,057
0000101652,First Aid Kit Small,HIBE,057
0000101653,Gas Detector Portable CO2 Type,HIBE,057
0000101654,Safety Gloves EN Standard,HIBE,057
0000101655,Safety Helmet Class-A,HIBE,057
0000101656,Safety Gloves Medium,HIBE,057
0000101657,Safety Helmet Class-A,HIBE,057
0000101658,Gas Detector Fixed Nitrile,HIBE,057
0000101659,Safety Harness Medium,HIBE,057
0000101660,Safety Helmet Large,HIBE,057
0000101661,Ear Muff Class-B,HIBE,057
0000101662,Safety Gloves ABC Type,HIBE,057
0000101663,Safety Shoes Canvas,HIBE,057
0000101664,Safety Goggles 4-Gas,HIBE,057
0000101665,Ear Plug DGMS Approved,HIBE,057
0000101666,Roofing Sheet GI M25,ROH,058
0000101667,Cement OPC 0.5mm,ROH,058
0000101668,Roofing Sheet GI Coarse,ROH,058
0000101669,Paint Industrial M40,ROH,058
0000101670,Sand Crushed Fe500,ROH,058
0000101671,Paint Industrial Fe550D,ROH,058
0000101672,Cement OPC M30,ROH,058
0000101673,Aggregate Fe500,ROH,058
0000101674,TMT Rebar M40,ROH,058
0000101675,Bricks Red Epoxy,ROH,058
0000101676,Cement OPC 43 Grade,ROH,058
0000101677,Paint Industrial 20mm,ROH,058
0000101678,PVC Pipe Fe550D,ROH,058
0000101679,PVC Pipe 0.63mm,ROH,058
0000101680,Paint Industrial M20,ROH,058
0000101681,Aggregate Fe500,ROH,058
0000101682,Structural Steel 0.5mm,ROH,058
0000101683,Cement PPC Fe550D,ROH,058
0000101684,Cement PPC 20mm,ROH,058
0000101685,Sand River Coarse,ROH,058
0000101686,TMT Rebar 0.5mm,ROH,058
0000101687,Waterproofing Compound M20,ROH,058
0000101688,Roofing Sheet GI M20,ROH,058
0000101689,Cement PPC 43 Grade,ROH,058
0000101690,AAC Blocks M25,ROH,058
0000101691,Aggregate 40mm,ROH,058
0000101692,Roofing Sheet GI M20,ROH,059
0000101693,Sand Crushed Epoxy,ROH,059
0000101694,PVC Pipe M30,ROH,059
0000101695,Cement PPC Fe550D,ROH,059
0000101696,TMT Rebar Fe550D,ROH,059
0000101697,AAC Blocks 0.5mm,ROH,059
0000101698,Sand River 0.63mm,ROH,059
0000101699,Sand River M20,ROH,059
0000101700,Structural Steel Fine,ROH,059
0000101701,Roofing Sheet GI Fe500,ROH,059
0000101702,Structural Steel Coarse,ROH,059
0000101703,Waterproofing Compound 43 Grade,ROH,059
0000101704,PVC Pipe Coarse,ROH,059
0000101705,Structural Steel M30,ROH,059
0000101706,Paint Industrial 0.5mm,ROH,059
0000101707,Ready Mix Concrete 53 Grade,ROH,059
0000101708,Waterproofing Compound M40,ROH,059
0000101709,Aggregate 0.5mm,ROH,059
0000101710,Cement PPC M40,ROH,059
0000101711,Aggregate Fe500,ROH,059
0000101712,Bricks Red 43 Grade,ROH,059
0000101713,Sand River M20,ROH,060
0000101714,Sand Crushed 0.63mm,ROH,060
0000101715,Sand River M25,ROH,060
0000101716,Waterproofing Compound Polyurethane,ROH,060
0000101717,Waterproofing Compound Fe500,ROH,060
0000101718,Cement OPC Fe500,ROH,060
